"Time","CPU 0 - Processed","CPU 1 - Processed","CPU 10 - Processed","CPU 11 - Processed","CPU 2 - Processed","CPU 3 - Processed","CPU 4 - Processed","CPU 5 - Processed","CPU 6 - Processed","CPU 7 - Processed","CPU 8 - Processed","CPU 9 - Processed","CPU 0 - Dropped","CPU 1 - Dropped","CPU 10 - Dropped","CPU 11 - Dropped","CPU 2 - Dropped","CPU 3 - Dropped","CPU 4 - Dropped","CPU 5 - Dropped","CPU 6 - Dropped","CPU 7 - Dropped","CPU 8 - Dropped","CPU 9 - Dropped"
2026-06-04 16:05:00,82.8 p/s,58.6 p/s,88.5 p/s,64.8 p/s,83.7 p/s,56.1 p/s,90.6 p/s,66.6 p/s,90.7 p/s,58.7 p/s,82.1 p/s,57.9 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 16:05:30,85.7 p/s,61.6 p/s,92.2 p/s,62.4 p/s,89.8 p/s,53.5 p/s,94.0 p/s,64.9 p/s,90.5 p/s,56.5 p/s,82.9 p/s,52.3 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 16:06:00,82.8 p/s,67.1 p/s,93.9 p/s,63.2 p/s,86.6 p/s,52.7 p/s,93.6 p/s,61.1 p/s,89.4 p/s,64.6 p/s,83.6 p/s,51.8 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 16:06:30,79.4 p/s,62.5 p/s,89.5 p/s,58.0 p/s,88.5 p/s,47.7 p/s,83.6 p/s,61.1 p/s,92.3 p/s,60.6 p/s,82.6 p/s,50.8 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 16:07:00,83.2 p/s,57.6 p/s,87.2 p/s,58.7 p/s,79.6 p/s,51.3 p/s,80.0 p/s,63.9 p/s,94.9 p/s,61.1 p/s,82.0 p/s,51.0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 16:07:30,84.5 p/s,57.0 p/s,85.5 p/s,58.6 p/s,84.9 p/s,52.9 p/s,78.6 p/s,71.0 p/s,91.8 p/s,59.3 p/s,82.2 p/s,51.9 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 16:08:00,80.8 p/s,55.8 p/s,82.3 p/s,57.1 p/s,83.7 p/s,54.5 p/s,80.2 p/s,61.4 p/s,85.1 p/s,58.8 p/s,80.7 p/s,57.7 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 16:08:30,80.0 p/s,58.1 p/s,81.9 p/s,56.7 p/s,85.0 p/s,58.3 p/s,85.3 p/s,57.4 p/s,79.4 p/s,56.3 p/s,80.4 p/s,62.1 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 16:09:00,80.3 p/s,55.6 p/s,82.7 p/s,55.8 p/s,77.5 p/s,54.7 p/s,88.1 p/s,51.6 p/s,78.0 p/s,54.1 p/s,81.4 p/s,62.2 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 16:09:30,80.0 p/s,62.1 p/s,86.2 p/s,56.2 p/s,79.5 p/s,56.5 p/s,92.2 p/s,54.4 p/s,80.4 p/s,59.1 p/s,81.3 p/s,56.8 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 16:10:00,79.4 p/s,60.0 p/s,90.2 p/s,57.3 p/s,81.4 p/s,61.2 p/s,91.1 p/s,56.2 p/s,85.3 p/s,65.4 p/s,83.8 p/s,55.2 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 16:10:30,81.7 p/s,64.0 p/s,93.8 p/s,56.7 p/s,86.3 p/s,70.2 p/s,91.3 p/s,57.7 p/s,88.9 p/s,67.0 p/s,81.1 p/s,54.7 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 16:11:00,80.2 p/s,62.8 p/s,94.2 p/s,55.8 p/s,84.4 p/s,74.9 p/s,82.7 p/s,57.6 p/s,86.6 p/s,60.4 p/s,81.8 p/s,53.5 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 16:11:30,78.4 p/s,66.8 p/s,95.0 p/s,52.5 p/s,84.0 p/s,69.5 p/s,82.3 p/s,59.4 p/s,87.7 p/s,56.7 p/s,83.2 p/s,51.4 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 16:12:00,76.5 p/s,67.5 p/s,89.9 p/s,59.9 p/s,81.1 p/s,67.4 p/s,84.0 p/s,56.5 p/s,89.8 p/s,50.3 p/s,87.3 p/s,47.9 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 16:12:30,86.9 p/s,67.0 p/s,94.1 p/s,58.0 p/s,80.1 p/s,60.8 p/s,94.0 p/s,57.1 p/s,94.6 p/s,53.2 p/s,91.6 p/s,54.0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 16:13:00,94.5 p/s,63.7 p/s,91.4 p/s,59.5 p/s,85.6 p/s,64.8 p/s,95.2 p/s,58.3 p/s,93.0 p/s,50.6 p/s,90.4 p/s,56.3 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 16:13:30,96.5 p/s,61.4 p/s,91.8 p/s,50.6 p/s,86.2 p/s,63.6 p/s,90.8 p/s,65.9 p/s,94.1 p/s,53.4 p/s,88.4 p/s,63.0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 16:14:00,89.2 p/s,57.0 p/s,93.2 p/s,56.8 p/s,88.7 p/s,62.6 p/s,85.3 p/s,71.5 p/s,91.4 p/s,52.6 p/s,83.8 p/s,56.1 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 16:14:30,80.9 p/s,52.3 p/s,90.9 p/s,55.9 p/s,81.9 p/s,56.6 p/s,84.0 p/s,66.5 p/s,92.6 p/s,56.2 p/s,85.1 p/s,54.5 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 16:15:00,76.4 p/s,54.2 p/s,96.3 p/s,56.2 p/s,76.4 p/s,56.8 p/s,82.8 p/s,63.7 p/s,90.6 p/s,55.4 p/s,83.4 p/s,54.4 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 16:15:30,78.2 p/s,53.2 p/s,93.6 p/s,52.6 p/s,76.3 p/s,58.6 p/s,83.7 p/s,61.5 p/s,91.7 p/s,54.0 p/s,83.9 p/s,53.5 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 16:16:00,83.9 p/s,58.4 p/s,94.6 p/s,53.1 p/s,73.9 p/s,57.8 p/s,80.6 p/s,66.7 p/s,88.1 p/s,53.0 p/s,82.9 p/s,51.8 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
